"","Pokedex Number","Name","Generation","Status","1st Type","2nd Type","1st Ability","2nd Ability","Hidden Ability","Total Points","Cluster"
"1",1,"Bulbasaur",1,"Normal","Grass","Poison","Overgrow","","Chlorophyll",318,"small weak"
"2",2,"Ivysaur",1,"Normal","Grass","Poison","Overgrow","","Chlorophyll",405,"big weak"
"3",3,"Venusaur",1,"Normal","Grass","Poison","Overgrow","","Chlorophyll",525,"fast attackers"
"4",3,"Mega Venusaur",1,"Normal","Grass","Poison","Thick Fat","","",625,"overall strongest"
"5",4,"Charmander",1,"Normal","Fire","","Blaze","","Solar Power",309,"small weak"
"6",5,"Charmeleon",1,"Normal","Fire","","Blaze","","Solar Power",405,"big weak"
"7",6,"Charizard",1,"Normal","Fire","Flying","Blaze","","Solar Power",534,"fast attackers"
"8",6,"Mega Charizard X",1,"Normal","Fire","Dragon","Tough Claws","","",634,"overall strongest"
"9",6,"Mega Charizard Y",1,"Normal","Fire","Flying","Drought","","",634,"overall strongest"
"10",7,"Squirtle",1,"Normal","Water","","Torrent","","Rain Dish",314,"big weak"
"11",8,"Wartortle",1,"Normal","Water","","Torrent","","Rain Dish",405,"big weak"
"12",9,"Blastoise",1,"Normal","Water","","Torrent","","Rain Dish",530,"defensive specialists"
"13",9,"Mega Blastoise",1,"Normal","Water","","Mega Launcher","","",630,"overall strongest"
"14",10,"Caterpie",1,"Normal","Bug","","Shield Dust","","Run Away",195,"small weak"
"15",11,"Metapod",1,"Normal","Bug","","Shed Skin","","",205,"small weak"
"16",12,"Butterfree",1,"Normal","Bug","Flying","Compound Eyes","","Tinted Lens",395,"big weak"
"17",13,"Weedle",1,"Normal","Bug","Poison","Shield Dust","","Run Away",195,"small weak"
"18",14,"Kakuna",1,"Normal","Bug","Poison","Shed Skin","","",205,"small weak"
"19",15,"Beedrill",1,"Normal","Bug","Poison","Swarm","","Sniper",395,"big weak"
"20",15,"Mega Beedrill",1,"Normal","Bug","Poison","Adaptability","","",495,"fast attackers"
